cluster,Reference_Audios,GroundTruth_Text,selection_model
0,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video8/chunk65.wav,"A mother and a wife.Yeah, an airline stewardess.So I was so set as a 13 year old.",Wav2Vec50_Model
1,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk239.wav,"Who should protect you, not protecting you.And then you understand people's values.And I think the biggest thing I learned is, like, if.",Wav2Vec50_Model
2,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video13/chunk68.wav,"Touch them from the back and they startle easily.Night Terrors, there's a lot ofthings change in grades at school.If you had an A student and allof a sudden, they're a C or.",Wav2Vec50_Model
3,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video0/chunk52.wav,"Was the word suck.So if somebody used that word just incasual conversation, I couldn't hear it without.",Wav2Vec50_Model
4,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video12/chunk70.wav,"Long I was there, it seemed like forever.He said that this was going tobe a secret between us and.",Wav2Vec960_Model
5,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video5/chunk19.wav,As a survivor.I'm here today as an advocate.I'm here today to encourage our people toseek the help that's available to them.,Wav2Vec960_Model
6,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video4/chunk39.wav,It and actually wanting it becauseit was a form of affection. It was a form of love.,Wav2Vec50_Model
7,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video5/chunk73.wav,I just learned to fight when Isay that I had four different sexual.,QuartZnet_Model
8,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video5/chunk88.wav,I received.Becoming a mother taught me how to love.That unconditional love was there.,Wav2Vec50_Model
9,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video1/chunk15.wav,"Remember walking up the steps thinking, I'm not going togo up there and there were two of us. Because I would.",Wav2Vec960_Model
10,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video5/chunk186.wav,"Organizations out there doing brilliant workworking with our young people.But just be mindful, too, that you don'thave to be referred to a professional toget the support that you need.",Wav2Vec50_Model
11,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video4/chunk138.wav,Feeling of empathy that goes out and there's an enormoussense of respect what you want to try to do.,Wav2Vec50_Model
12,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video4/chunk29.wav,Me.Urinated on me.Anything that she wanted to doto further her sexual pleasure.Gratification and anything that.,Wav2Vec50_Model
13,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video12/chunk24.wav,"You know, like we were buddies.He said we should get together again sometime.Maybe go to a movie, like.",Wav2Vec50_Model
14,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video4/chunk163.wav,I will never forget the horrors of what happened to me.,Wav2Vec960_Model
15,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video12/chunk61.wav,"Gordon was in the doorway, so I said hi.And he said hi back and commented onmy playing with his dad, living in the.",Wav2Vec50_Model
16,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video14/chunk46.wav,"I'm angry at you, too.You're not the mother of the year.And so I think what I've learnedis just how to let go right?And how to be honest with what is.",Wav2Vec50_Model
