Audio,Length,Duration,Sample_Rate,MFCC_max,MFCC_min,MFCC_mean,MFCC_median,MFCC_q1,MFCC_q3,spectral_centroid_max,spectral_centroid_min,spectral_centroid_mean,spectral_centroid_median,spectral_centroid_q1,spectral_centroid_q3,spectral_bandwidth_max,spectral_bandwidth_min,spectral_bandwidth_mean,spectral_bandwidth_median,spectral_bandwidth_q1,spectral_bandwidth_q3,zcr_max,zcr_min,zcr_mean,zcr_median,zcr_q1,zcr_q3,cluster
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video0/chunk0.wav,16000,220500,13.78,82.61311,-655.889,-16.303965,-7.9105854,-19.455872535705566,2.8125230073928837,7322.656803611896,0.0,4170.685154064272,4144.859864188245,3505.3356149604992,4726.913572141082,3734.3972110882514,0.0,2766.1060406865377,2807.876795279008,2633.768369071068,2940.834538818058,0.60498046875,0.0,0.2964932116444315,0.2900390625,0.216796875,0.3671875,0
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk17.wav,16000,220500,13.78,119.984764,-309.3238,-18.929985,-11.909122,-27.57637882232666,2.657076597213745,7142.964517412552,1597.8482261200606,3920.2495489904286,3754.902117289029,2589.8725575780613,4815.905099371904,3397.70710395981,1760.3832185435317,2691.396615860496,2752.642535503226,2408.108893478551,2969.2687067924653,0.68505859375,0.05712890625,0.2767806971432714,0.236328125,0.11767578125,0.39697265625,0
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk34.wav,16000,220500,13.78,103.092155,-302.60092,-18.103329,-11.798861,-27.87639141082764,4.009503602981567,7285.663939278993,1742.5980094305785,3947.920080708761,3732.347278031189,2840.380957486246,4878.55508495246,3384.3669152823645,1675.609291969584,2649.4596618301657,2722.9904421586025,2395.5093819242225,2927.8676834659427,0.66357421875,0.08251953125,0.2900152715342227,0.251953125,0.1748046875,0.39013671875,0
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk52.wav,16000,220500,13.78,107.50282,-302.9024,-19.35978,-13.075249,-28.58574867248535,3.250142335891724,7298.074875115332,2022.6151681220376,3976.5229029004095,3587.228048024447,2830.1661984752827,5036.053733634802,3574.3108478655063,1814.8684047733425,2695.7948277304617,2761.7870953768597,2447.9754376686287,2971.355278985494,0.68408203125,0.06201171875,0.2816771044808585,0.220703125,0.1376953125,0.415283203125,0
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk71.wav,16000,220500,13.78,104.455925,-404.22635,-22.772783,-11.907156,-28.23630142211914,2.7789820432662964,7270.87184711628,1551.3125452496454,3961.105467260855,3725.90067090166,2868.828611376646,4669.861390181956,3435.0834582056077,1553.719239621743,2675.5553904309354,2723.519686994342,2393.5672411018577,2975.220564969873,0.67578125,0.0576171875,0.2850327635585847,0.25244140625,0.15673828125,0.39013671875,0
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk76.wav,16000,220500,13.78,101.25467,-276.7814,-17.808176,-14.078851,-29.39232635498047,2.597845554351806,7416.861815100383,1662.6499360434375,3967.9995636957374,3667.668035393396,2838.876512506306,4909.832636820021,3603.290840249365,1839.273285680955,2814.2483352248346,2853.666925902321,2572.973911158455,3070.798542786204,0.697265625,0.05322265625,0.2793455898346867,0.2314453125,0.1484375,0.400390625,0
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk91.wav,16000,220500,13.78,109.343666,-386.91812,-22.86814,-12.7058,-28.168556213378903,2.866858720779419,6807.56654734241,1811.32849217854,3983.227831572414,3819.751642194748,2769.5715482980786,5112.892303941897,3394.99687428144,1699.0496291621014,2702.216184576688,2759.6369942160795,2442.5245880218,2982.781060631833,0.6416015625,0.0615234375,0.2962451058584687,0.25048828125,0.149658203125,0.43994140625,0
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk95.wav,16000,220500,13.78,114.49489,-394.281,-23.428072,-12.17755,-28.48526763916016,2.961631655693054,7012.229687866055,1970.3629566335655,3991.211843879272,3700.5003097470735,2918.998298171966,5003.58965526414,3279.0790608330985,1807.2070533492908,2594.6930990872806,2619.5097726000704,2378.5230558326025,2832.2317817618346,0.673828125,0.0712890625,0.292905307424594,0.24853515625,0.161376953125,0.420654296875,0
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk150.wav,16000,220500,13.78,126.16695,-294.9425,-16.54157,-12.617501,-28.096162796020508,1.972131609916687,7075.242197866594,1496.8549355097366,3911.383487810866,3667.0889351344304,2723.8959366468093,4983.810781641088,3465.735323901601,1773.9903914249496,2788.3178439835688,2877.215630244183,2563.837260648026,3060.23665654227,0.6494140625,0.06396484375,0.2641069098027842,0.220703125,0.13916015625,0.369873046875,0
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk152.wav,16000,220500,13.78,106.99693,-331.2766,-17.255583,-13.554981,-28.63981056213379,2.2895714044570923,7003.982132253803,1703.5509556346365,3966.403821087358,3843.7377271257697,2740.928703565908,4940.249250221021,3481.3329923848205,1636.8005549670877,2749.980687099533,2821.8644874809515,2471.282318963513,3065.296236636186,0.6484375,0.06298828125,0.2747380727958237,0.2353515625,0.144775390625,0.394775390625,0
