Audio,Length,Duration,Sample_Rate,MFCC_max,MFCC_min,MFCC_mean,MFCC_median,MFCC_q1,MFCC_q3,spectral_centroid_max,spectral_centroid_min,spectral_centroid_mean,spectral_centroid_median,spectral_centroid_q1,spectral_centroid_q3,spectral_bandwidth_max,spectral_bandwidth_min,spectral_bandwidth_mean,spectral_bandwidth_median,spectral_bandwidth_q1,spectral_bandwidth_q3,zcr_max,zcr_min,zcr_mean,zcr_median,zcr_q1,zcr_q3
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video0/chunk0.wav,16000,220500,13.78,82.61311,-655.889,-16.303965,-7.9105854,-19.455872535705566,2.8125230073928833,7322.656803611896,0.0,4170.685154064272,4144.859864188245,3505.3356149604992,4726.913572141082,3734.3972110882514,0.0,2766.1060406865377,2807.876795279008,2633.7683690710674,2940.834538818058,0.60498046875,0.0,0.29649321164443154,0.2900390625,0.216796875,0.3671875
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video0/chunk1.wav,16000,220500,13.78,128.07278,-347.13266,-13.706955,-8.231878,-23.76261806488037,6.371011257171631,6598.792488960369,1764.3146031847814,3615.4081597742306,3255.2205417075993,2761.2760759550088,4457.384246503781,3531.0915819092324,1737.5176770292096,2598.852971536187,2606.089692746825,2389.09484251657,2790.6883033873914,0.56982421875,0.06298828125,0.24498916944605567,0.22119140625,0.164306640625,0.307373046875
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video0/chunk2.wav,16000,220500,13.78,133.25117,-320.67783,-14.540486,-7.2423067,-23.7069673538208,6.7238805294036865,6218.579459145443,1673.9865355698055,3336.824331847629,3069.373119467994,2562.9806271724265,3970.6838533938926,3435.687343799376,1807.4024958186646,2577.0959637384904,2603.5243009283777,2364.411244971673,2798.060112555342,0.51611328125,0.05810546875,0.2113226870649652,0.193359375,0.1474609375,0.261474609375
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video0/chunk3.wav,16000,220500,13.78,132.71703,-305.19653,-13.954058,-8.267758,-24.707252502441406,6.264441728591919,6041.058920991528,1739.2983717437069,3356.78093574719,3040.5311381896104,2623.3726319523676,3888.0901382255106,3517.699079516253,1760.9554111582042,2510.6614930448814,2494.6798380683767,2307.559519191278,2697.817721522624,0.537109375,0.0576171875,0.20835561376160092,0.18505859375,0.140625,0.252197265625
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video0/chunk4.wav,16000,220500,13.78,131.70374,-348.39987,-13.163221,-6.1551986,-22.482903480529785,6.332026243209839,6276.331404633335,1772.8698431119703,3574.5419093860255,3221.265065641309,2751.9660498968133,4452.2249740667185,3460.2875126378167,1940.7095547199049,2657.3064216238845,2661.7669835635625,2484.8360899733316,2826.586363884616,0.54150390625,0.056640625,0.23579679343097448,0.2001953125,0.156005859375,0.295654296875
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video0/chunk5.wav,16000,220500,13.78,132.96631,-360.55716,-14.046197,-5.3970375,-21.550121307373047,9.281786918640137,6159.278777251286,1695.2798911632874,3442.5912483108978,3256.0477689721347,2758.799329168728,3948.3539627436103,3555.8108298764514,1882.082362379427,2614.8892508311155,2598.560640250659,2433.730875595346,2813.104945442811,0.505859375,0.0703125,0.21798982199825986,0.19384765625,0.153564453125,0.26416015625
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video0/chunk6.wav,16000,220500,13.78,131.99155,-318.66205,-10.721688,-6.048645,-20.58941650390625,8.173512935638428,6177.854695873888,1790.569953268153,3421.220856517603,3180.698664877137,2753.903762655616,4031.6882806561816,3582.0201674397335,1877.3373697919887,2645.7917783795488,2614.552741079577,2446.3972621060825,2808.2859701320226,0.53173828125,0.07470703125,0.2175627175174014,0.19775390625,0.14892578125,0.270263671875
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video0/chunk7.wav,16000,220500,13.78,158.45201,-424.14127,-18.77672,-7.741843,-20.988643646240234,3.8676624298095703,7220.9904431288105,1198.0639438314768,3682.255591675339,3745.4381293200768,2248.720271887031,4864.355566777278,3530.598354261494,1632.1588509486771,2700.237854010899,2838.8393714691288,2374.385199628244,3115.537506623409,0.66552734375,0.046875,0.25484995830916474,0.2265625,0.125732421875,0.356201171875
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video0/chunk8.wav,16000,220500,13.78,144.48564,-669.8628,-19.9004,-4.964632,-21.85647964477539,8.764791488647461,8229.978357084708,1714.0572836909985,4224.4484695851315,3982.9005548992054,3265.7636542218556,5097.756781288001,3754.854834130476,1985.808813883906,2726.088359800676,2729.855842966836,2535.2380842490675,2916.846612717908,0.646484375,0.04296875,0.30616027407192575,0.2890625,0.203857421875,0.3994140625
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video0/chunk9.wav,16000,220500,13.78,136.03424,-538.3703,-16.461721,-8.515488,-27.46361541748047,6.726614475250244,6091.267885307071,1830.3019462784505,3487.8956038029464,3267.826004875382,3029.982634086326,3789.859592178689,3811.7257941471235,2106.7624749930023,2736.718122605214,2711.3979334784763,2547.238748567222,2922.056619088676,0.52587890625,0.0654296875,0.20216316524071926,0.181640625,0.14794921875,0.239990234375
