Audio,Length,Duration,Sample_Rate,MFCC_max,MFCC_min,MFCC_mean,MFCC_median,MFCC_q1,MFCC_q3,spectral_centroid_max,spectral_centroid_min,spectral_centroid_mean,spectral_centroid_median,spectral_centroid_q1,spectral_centroid_q3,spectral_bandwidth_max,spectral_bandwidth_min,spectral_bandwidth_mean,spectral_bandwidth_median,spectral_bandwidth_q1,spectral_bandwidth_q3,zcr_max,zcr_min,zcr_mean,zcr_median,zcr_q1,zcr_q3,cluster,selection_model_y
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video8/chunk65.wav,220500,10.0,22050,202.2059,-442.5291,-25.845234,-11.1008215,-24.31819534301757,-1.2689660787582395,6501.5351093173895,567.9283322619117,1566.4390759076196,1252.57590656819,954.7815686987798,1453.726205748584,3698.61711502737,726.8517209679806,1765.0061331961558,1635.412909368711,1197.851904363688,2144.2849063258573,0.64697265625,0.0263671875,0.0902051460991879,0.0537109375,0.0439453125,0.074951171875,0,Wav2Vec50_Model
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video13/chunk64.wav,220500,10.0,22050,208.86606,-690.803,-36.104393,-10.297651,-21.885449409484863,-0.5300861895084381,6900.150499531876,0.0,1490.7498284045428,1029.980542571874,719.3627513113528,1780.5069221422632,3712.6090809816674,0.0,1398.8728758910754,1163.5931483967488,735.7514513671117,2063.4591315411603,0.61962890625,0.0,0.0805301533497679,0.05224609375,0.03369140625,0.078369140625,0,Wav2Vec50_Model
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video4/chunk141.wav,220500,10.0,22050,214.78543,-739.3048,-22.992388,-1.7508585,-12.868375778198242,10.08436679840088,6640.305545460665,625.1925129274168,1651.3662715557978,1246.1587595893195,1004.1854449577596,1608.393869895682,3577.586807968136,968.5377194804806,1876.0176016423657,1723.1879546075902,1416.7349244994557,2174.733474660924,0.5,0.0224609375,0.083071255075406,0.05224609375,0.0419921875,0.0810546875,0,Wav2Vec50_Model
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video13/chunk77.wav,220500,10.0,22050,217.79883,-517.49677,-21.425201,-7.265212,-17.504051208496094,5.191779136657715,6593.135102398968,519.6065213169579,1442.354345558762,1093.431596041768,728.8728789957703,1522.8193984861427,3834.488534484047,672.2010548725917,1697.1095724780516,1531.9581097506475,991.0447753916488,2145.124307166937,0.5791015625,0.02587890625,0.0705368148201856,0.0439453125,0.03857421875,0.0615234375,0,Wav2Vec50_Model
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video13/chunk78.wav,220500,10.0,22050,213.0829,-493.67334,-21.032824,-9.12977,-21.426257133483887,3.3000372648239136,6422.49840407896,492.1216566645653,1568.0971012077448,1282.873467595789,885.8220094123478,1738.615799845759,3783.698871496087,670.8102030700427,1738.9727815289434,1653.5853288019905,1233.6445645235715,2094.562799217767,0.55517578125,0.02197265625,0.0769037304234338,0.048828125,0.0390625,0.076904296875,0,Wav2Vec50_Model
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video4/chunk147.wav,220500,10.0,22050,216.78992,-494.4904,-18.703093,-0.561442,-11.197321891784668,11.880162715911863,6521.319406608816,693.9257439919279,1672.2173772927977,1133.2677133283396,955.402604514399,1751.7564784742697,3857.33274772848,915.5115130329544,1952.527438656896,1682.5383647309316,1426.2791801943526,2364.2672749774274,0.55322265625,0.0146484375,0.0816641893851508,0.048828125,0.03662109375,0.080078125,0,Wav2Vec50_Model
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video4/chunk148.wav,220500,10.0,22050,219.43396,-515.61584,-18.454231,-0.7265413,-11.7621169090271,11.754981994628906,6361.973001524444,566.6722403578824,1700.5424942058316,1184.910525820216,972.1496946750416,1715.014953087524,3689.7775681084217,843.0343445599475,1876.4555842476743,1618.5781886584136,1392.4653106960202,2305.0773698472385,0.537109375,0.02197265625,0.0820980912848027,0.04833984375,0.03759765625,0.076904296875,0,Wav2Vec50_Model
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video4/chunk149.wav,220500,10.0,22050,209.13452,-523.9369,-19.128069,-1.6640131,-13.171916961669922,10.639585494995115,6243.230035771665,552.3716220464231,1705.815574024686,1193.137575146774,948.2018432740113,1868.5501447578577,3766.4430818156384,913.23091386915,1883.633633362361,1697.6156851198891,1361.9977458661049,2190.7624424499554,0.5390625,0.01904296875,0.0851807207076566,0.05322265625,0.0400390625,0.093017578125,0,Wav2Vec50_Model
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video13/chunk60.wav,220500,10.0,22050,251.05524,-447.9556,-8.2406435,2.4699116,-10.841622829437256,17.256362915039062,6526.596103374732,382.92236616874175,1446.5013886110494,979.2960931421736,684.3200160248207,1654.90036740534,3809.99213409675,629.5994356756269,1751.4913954843466,1529.5456702764325,1133.6521791153802,2278.931734278799,0.54541015625,0.017578125,0.0666781467517401,0.03955078125,0.031005859375,0.060791015625,0,Wav2Vec50_Model
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk111.wav,220500,10.0,22050,203.19695,-380.59628,-9.769551,-4.3982143,-19.050189971923828,8.67444372177124,6442.588443199171,519.7974675584868,1633.6048921187837,1301.6879101191605,969.6140614195892,1765.3715064222542,3749.0137280160297,711.3407448539515,1842.844634657424,1646.1233702722084,1304.5199533205264,2312.310083371773,0.61376953125,0.015625,0.0882327617459396,0.05859375,0.041748046875,0.089111328125,0,Wav2Vec50_Model
