,Audio,Length,Duration,Sample_Rate,MFCC_max,MFCC_min,MFCC_mean,MFCC_median,MFCC_q1,MFCC_q3,spectral_centroid_max,spectral_centroid_min,spectral_centroid_mean,spectral_centroid_median,spectral_centroid_q1,spectral_centroid_q3,spectral_bandwidth_max,spectral_bandwidth_min,spectral_bandwidth_mean,spectral_bandwidth_median,spectral_bandwidth_q1,spectral_bandwidth_q3,zcr_max,zcr_min,zcr_mean,zcr_median,zcr_q1,zcr_q3,selection_model_y,Target,GroundTruth_Text
0,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video0/chunk0.wav,220500,10.0,22050,176.37328,-630.9904,-14.306389,-0.83982193,-13.820019721984863,10.619362354278564,5966.688509092079,0.0,1813.6898176127809,1503.1383529116542,1149.4362577534814,2022.6446714276112,3455.898950893916,0.0,2034.8436780808145,1981.389778148108,1662.8654784326782,2356.631996380105,0.51123046875,0.0,0.0799897585556844,0.05419921875,0.038818359375,0.07763671875,Wav2Vec960_Model,2,"I never really blamed him.I blamed myself.And that self blame, over time,became a kind of selfhatred."
1,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video8/chunk58.wav,220500,10.0,22050,213.50867,-475.7851,-25.106333,-13.670713,-26.61605930328369,-1.596804678440094,5618.743476978461,468.2913543114084,1406.9649475897645,1145.8582994969054,866.5254164967425,1492.004758439234,3753.1031597747374,697.8116318991777,1674.632674094414,1575.7149863984478,1189.5066383423648,1932.4732644011688,0.3994140625,0.01953125,0.0748826312354988,0.0517578125,0.035888671875,0.0830078125,Wav2Vec50_Model,1,"I began to rewrite the film with this back and forth.In time and in memory, thethe film actually became much more."
2,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video9/chunk1.wav,220500,10.0,22050,215.64343,-632.58466,-15.00179,-1.1633861,-14.333088874816896,12.933112144470217,5892.132161195691,625.1127205811791,2124.523620937343,1875.7877830901143,1445.0477379735837,2795.4499439380456,3303.238446855365,801.7109871354086,2076.1178648632635,2168.522726709058,1602.7180149327787,2536.444647508496,0.48876953125,0.0068359375,0.102218450913573,0.08203125,0.05322265625,0.126953125,Wav2Vec960_Model,2,"Some may find the details disturbing.Nearly a decade after his death,multiple Grammy winner Michael Jackson's."
3,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video9/chunk25.wav,220500,10.0,22050,236.89102,-656.98975,-27.039236,-1.7436614,-16.04991054534912,10.49649429321289,6467.495003470416,438.6254006662933,1870.3160749016804,1194.176013131098,864.2381154357233,2671.464398196148,4074.776266462838,773.6258083915392,2060.06376842736,1872.962301444998,1269.5085454567293,2892.131982218263,0.4658203125,0.01171875,0.0926918684744779,0.0576171875,0.03369140625,0.129150390625,Wav2Vec50_Model,1,In 2005 during the criminal trial.The reason why Wade changed his story.And that's what it looks like.And I can understand why people.
4,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video13/chunk79.wav,220500,10.0,22050,231.29657,-461.77887,-23.314342,-12.374388,-24.748000144958496,0.7048436403274536,6463.677713859875,618.5245302376986,2073.5154871415984,1640.507528348117,1282.6869132521224,2145.220809867965,3332.284618367338,693.1600794557901,1936.6103216270672,1882.8300812979085,1554.2544044689257,2285.606682805952,0.5869140625,0.021484375,0.1044174158932714,0.06640625,0.049072265625,0.09326171875,Wav2Vec50_Model,1,"I wasn't being as open as I used to be.Or it looked like maybe I was keeping secretsor I just wasn't sharing how I felt.Maybe if someone had come to me and said, Are."
5,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video9/chunk16.wav,220500,10.0,22050,209.01495,-653.35065,-17.18586,-2.9659023,-17.427459716796875,11.506857872009276,6117.148369651045,0.0,1956.396804493438,1392.9939975716416,991.5449915516313,2501.2842864589124,3641.3160528442336,0.0,1868.372350763112,1894.5395125676653,1453.6691242192126,2318.0199473901057,0.54443359375,0.0,0.1090815780887471,0.05517578125,0.03271484375,0.146728515625,Wav2Vec960_Model,2,Theirs to come out and state this.And they're still in court with the estatesuing them for hundreds of millions of dollars.Jackson's estate is suing HBO for 100.
6,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video12/chunk106.wav,220500,10.0,22050,208.90027,-423.59305,-18.35081,-8.702604,-19.474239349365234,3.667533040046692,7234.800514121048,571.6419704179846,2036.9311596727773,1484.5386853705345,1013.8045173279286,2171.971319480892,3617.986394371372,916.799974078622,1916.3269288660947,1841.102295019541,1418.7888273442782,2315.0288962407885,0.65869140625,0.0224609375,0.1093580064530162,0.0576171875,0.0439453125,0.08642578125,Wav2Vec50_Model,1,The priest invited Michael to stay for mass.And the mass begins.And the floodgates open up.
7,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk133.wav,220500,10.0,22050,204.83133,-364.37085,-5.078924,-3.369587,-19.188698768615723,10.949123859405518,7457.651935891342,516.8038911633449,2053.934434773741,1430.91120816638,1165.478671032388,2091.4437195641726,3787.366871320867,914.3182571091704,1917.67057495581,1668.4110151009324,1330.9482338850348,2390.3231150627416,0.73046875,0.02099609375,0.1235974659222737,0.068359375,0.0498046875,0.124267578125,Wav2Vec960_Model,2,"I had a lot more independence.I wasn't hanging around with thefamily as much in those scenarios.I'd be playing with my own friends,and eventually I just kind of."
8,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video12/chunk119.wav,220500,10.0,22050,198.38559,-449.1093,-12.315744,0.7725384,-14.772465705871582,14.032140254974363,6017.718837156261,731.2785462016474,1969.210102068193,1606.5574341582624,1324.9546739687034,2198.4030134316617,3219.33085265108,1137.0280930363638,1951.3682106279448,1907.9926342532665,1598.6577510395869,2240.962283758891,0.51171875,0.01416015625,0.1058867912558004,0.07470703125,0.052001953125,0.114013671875,Wav2Vec50_Model,1,"The Way that I see our lives asbeing parallel is that we both hadthis formative, traumatic experience, one that really."
9,/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video12/chunk121.wav,220500,10.0,22050,185.57213,-412.43457,-13.604924,-4.3420258,-18.2049503326416,10.098885536193848,7390.333263014543,647.7351418811932,1967.7091280284787,1387.0029502279178,1161.3877363528136,2096.287224798317,3904.806595716287,975.313875510061,2006.5657599351664,1817.2619704853616,1469.1411645753026,2570.177541414304,0.64794921875,0.0263671875,0.0930034168358468,0.0595703125,0.048828125,0.090576171875,Wav2Vec50_Model,1,To usher me out when he raised his fingerto his lips and swore me to a secret.Michael's old secret is now the subjectof a one-man play he wrote.
